gameID,player,num_players,rank,combat,coin,wonder,civilian,commercial,guild,science,total
1,Me,3,3,-6,2,10,13,0,7,18,44
1,Dad,3,2,17,2,8,26,0,0,0,53
1,Mom,3,1,7,1,7,16,3,9,13,56
2,Me,3,1,11,0,11,31,0,3,0,56
2,Mom,3,2,10,3,10,4,4,13,0,44
2,Matt,3,3,-3,5,8,10,2,0,21,43
3,Me,6,1,10,4,16,8,3,7,13,61
3,Jamie,6,3,-4,6,10,22,7,0,1,42
3,Will,6,5,11,5,2,12,0,0,1,31
3,Zach,6,4,12,3,3,12,4,0,0,34
3,Son,6,6,0,11,8,0,0,0,0,19
3,Jack,6,2,7,6,3,3,2,7,25,53
4,Me,3,3,-3,6,10,20,3,6,5,47
4,Mom,3,1,11,2,20,13,0,14,0,60
4,Dad,3,2,10,5,10,10,5,0,9,49
5,Me,3,2,-6,7,10,20,3,0,17,51
5,Dad,3,1,14,4,7,19,2,8,0,54
5,Matt,3,3,8,1,10,11,4,0,13,47
6,Matt,4,1,-6,0,10,0,0,9,55,68
6,Me,4,4,6,9,3,12,8,9,0,47
6,Dad,4,2,18,1,7,29,0,0,1,56
6,Mom,4,3,6,7,20,13,4,0,0,50
7,Me,4,4,7,4,5,18,6,0,0,40
7,Dad,4,3,14,8,7,16,2,6,0,53
7,Mom,4,1,0,3,20,20,4,14,0,61
7,Matt,4,2,1,1,10,2,0,0,43,57
8,Me,4,1,17,11,7,10,9,7,0,61
8,Dad,4,2,-6,5,3,24,11,0,16,53
8,Mom,4,3,8,4,3,11,0,0,26,52
8,Matt,4,4,4,3,10,0,0,14,10,41
9,Me,4,2,8,2,10,7,0,0,25,52
9,Marty,4,1,14,5,7,30,0,8,0,64
9,Justin,4,3,-6,12,10,10,12,5,0,43
9,Nathan,4,4,8,8,15,7,3,0,0,41
10,Dad,3,2,-3,2,13,30,4,6,0,52
10,Mom,3,3,-3,4,10,0,4,0,28,43
10,Me,3,1,18,9,7,14,3,0,13,64
11,Dad,3,2,0,2,7,5,3,0,31,48
11,Mom,3,3,1,1,10,25,0,0,10,47
11,Me,3,1,17,5,10,19,3,7,0,61
12,Me,5,5,7,2,10,5,0,7,0,31
12,Matt,5,3,1,5,10,14,0,9,4,43
12,Mom,5,2,5,2,15,8,5,15,0,50
12,Andrea,5,4,0,3,10,20,0,0,0,33
12,Dad,5,1,17,9,10,8,7,0,0,51
13,Me,4,2,16,7,10,5,4,10,0,52
13,Matt,4,2,-5,3,3,0,0,17,34,52
13,Mom,4,1,18,2,15,24,0,0,0,59
13,Dad,4,4,-5,6,3,23,2,0,4,33
14,Me,5,1,18,5,15,11,3,0,10,62
14,Emmett,5,5,-6,6,10,2,0,0,16,28
14,Al,5,3,17,2,3,15,7,4,0,48
14,Ethan,5,4,7,2,10,6,2,6,1,34
14,Dad,5,2,-6,2,10,26,0,11,9,52
15,Me,4,1,2,0,10,10,0,0,36,58
15,Dad,4,2,11,2,10,20,0,9,0,52
15,Mom,4,3,8,4,10,3,5,17,0,47
15,Kelton,4,4,-5,5,15,24,0,0,1,40
16,Me,4,3,17,7,10,16,0,0,0,50
16,Mom,4,4,-4,4,3,19,3,0,4,29
16,Dad,4,1,17,9,10,8,5,10,1,60
16,Kelton,4,2,-6,5,10,10,9,0,26,54
17,Me,4,3,14,4,7,5,0,4,10,44
17,Dad,4,2,2,0,7,21,0,7,9,46
17,Mom,4,1,9,4,20,22,0,0,0,55
17,Kelton,4,4,-5,5,3,9,0,0,21,33
18,Me,3,2,8,2,15,10,5,0,13,53
18,Matt,3,1,12,5,5,8,5,19,0,54
18,Mom,3,3,-4,2,10,21,0,14,1,44
19,Me,5,3,5,11,10,0,8,0,16,50
19,Dad,5,3,12,1,7,23,0,7,0,50
19,Kelton,5,5,-4,1,10,9,0,6,13,35
19,Mom,5,1,16,1,3,26,0,12,2,60
19,Matt,5,2,-3,5,20,0,4,20,10,56
20,Me,3,1,-4,0,3,5,0,0,48,52
20,Dad,3,2,13,2,10,19,3,4,0,51
20,Mom,3,3,7,4,7,21,8,0,0,47
21,Me,3,2,-6,2,10,14,0,7,26,53
21,Dad,3,1,9,6,7,27,3,0,4,56
21,Mom,3,3,9,1,20,9,0,5,0,44
22,Me,6,4,9,8,10,7,8,6,1,49
22,Mom,6,2,-2,3,20,17,0,14,0,52
22,Kelton,6,6,-3,1,3,16,0,0,13,30
22,Matt,6,1,18,7,10,15,3,6,1,60
22,Grandma,6,5,-2,6,10,22,3,0,0,39
22,Dad,6,3,10,5,7,0,0,8,21,51
23,Me,5,1,13,1,10,17,0,17,10,68
23,John,5,4,-5,5,15,16,6,5,1,43
23,Seth,5,4,7,7,10,17,1,0,1,43
23,Luke,5,2,17,4,10,8,7,5,0,51
23,Justin,5,3,-4,9,10,8,6,6,10,45
24,Me,3,1,8,2,10,15,0,10,4,49
24,Dad,3,2,14,3,7,5,3,0,16,48
24,Mom,3,3,-5,4,20,15,0,10,2,46
25,Me,3,3,-6,5,10,7,3,6,21,46
25,Dad,3,2,13,5,3,23,3,0,4,51
25,Mom,3,1,13,2,7,14,0,5,13,54
26,Me,5,1,-1,5,10,13,2,20,0,49
26,Brian,5,4,-2,3,3,5,6,0,25,40
26,Ben,5,2,10,3,10,9,3,13,0,48
26,Justin,5,3,4,7,4,10,20,0,0,45
26,Alec,5,5,5,4,10,15,3,0,0,37
27,Me,3,1,17,0,3,31,0,17,0,68
27,Dad,3,3,-3,4,3,6,0,0,21,31
27,Mom,3,2,4,8,7,5,11,0,16,51
28,Me,5,4,5,6,15,16,8,4,0,54
28,Kelton,5,5,-3,3,10,6,0,0,26,42
28,Mom,5,2,13,3,7,15,4,13,1,56
28,Matt,5,1,-5,4,3,6,5,8,38,59
28,Dad,5,2,16,8,10,22,0,0,0,56
29,Justin,7,7,-1,5,10,10,4,9,0,37
29,Me,7,2,-3,8,10,31,3,0,0,49
29,Josue,7,5,8,6,20,6,0,0,1,41
29,Zach,7,4,12,9,0,9,2,3,10,45
29,Luke,7,2,10,3,10,13,3,8,2,49
29,Seth,7,5,-4,8,7,21,0,8,1,41
29,Marty,7,1,17,2,3,5,0,7,25,59
30,Marty,7,2,4,5,10,19,3,6,1,48
30,Me,7,4,-2,0,3,19,0,0,26,46
30,Noah,7,2,15,6,10,13,0,0,4,48
30,Josh,7,7,-5,9,15,5,13,0,1,38
30,Alec,7,5,18,0,10,12,0,0,0,40
30,Brian,7,6,-6,8,3,11,2,8,13,39
30,Bill,7,1,18,6,10,6,2,11,2,55
31,Dad,6,2,18,1,10,15,0,9,0,53
31,Mom,6,6,-1,8,7,6,6,0,10,36
31,Kelton,6,4,1,0,10,18,0,0,18,47
31,Matt,6,1,17,6,10,0,4,3,16,56
31,Kate,6,5,3,10,15,15,3,0,0,46
31,Me,6,3,-2,4,10,12,0,6,18,48
32,Dad,3,3,7,4,20,8,4,0,1,44
32,Mom,3,2,17,1,7,8,0,8,4,45
32,Me,3,1,-6,0,3,23,0,7,26,53
